Localidad,X,Y
Villamelida, 4.118565,-73.597905
Los trigos, 4.138547618542827, -73.64307683220245
Llano lindo, 4.123100250605462, -73.64747751685847
Catumare, 4.108521532475746, -73.65239455918643
San jorge, 4.10544261792991, -73.64864188987437
Parque guatape, 4.099913824647651, -73.64448356103837
Hospital departamental, 4.155818521893985, -73.63957129451185
El rubi, 4.100695771039086, -73.63701373617042
Uniminuto, 4.110630207992981, -73.63181437692351
La coralina, 4.139434613168436, -73.63777573528502
Los comuneros, 4.123638925710828, -73.62711308802243
Villa Suarez, 4.1327157167478275, -73.62215810521838
Saratex, 4.143542421629514, -73.6420793340544
El buque, 4.14013255310927, -73.6420481708513
Politecnico grancolombia,4.151316379812905, -73.63698838353471
Piel canela, 4.141406915924951, -73.63206626103843
La alemana, 4.143193218570925, -73.6400144610384
Sanitas, 4.144199117203832, -73.6402427128946
El sabanero, 4.143480988278939, -73.6387544917264
Multisalud,4.143509229268799, -73.64699542523365
Tecnisold, 4.1412396134971265, -73.61151590336635
Inegas, 4.13706311904535, -73.61986711685844
Moizaro, 4.143985111963187, -73.62136818987439
